"hrgcode","hrg","trim.el","trim.nel","nelshortst","perc.nelshortst","tariff.op","tariff.dcel","tariff.dc","tariff.el","tariff.nel","tariff.overtrim","tariff.nelshortst"
"ED13B","Standard Repair of Aortic Root with CC Score 0-6",17,37,"No","-",0,10090,0,0,12108,229,0
"ED14A","Complex Repair of Ascending Thoracic Aorta with CC Score 7+",61,72,"No","-",0,16060,0,0,19272,229,0
"ED14B","Complex Repair of Ascending Thoracic Aorta with CC Score 0-6",17,34,"No","-",0,10123,0,0,12147,229,0
"ED15A","Standard Repair of Ascending Thoracic Aorta with CC Score 7+",35,66,"No","-",0,12821,0,0,15385,229,0
"ED15B","Standard Repair of Ascending Thoracic Aorta with CC Score 0-6",19,30,"No","-",0,8319,0,0,9983,229,0
"ED20A","Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",51,83,"No","-",0,15108,0,0,17931,229,0
"ED20B","Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",24,41,"No","-",0,11172,0,0,13375,229,0
"ED21A","Standard, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",49,72,"No","-",0,14440,0,0,16684,229,0
"ED21B","Standard, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",20,47,"No","-",0,10516,0,0,12873,229,0
"ED22A","Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 11+",65,85,"No","-",0,16483,0,0,18146,229,0
"ED22B","Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 6-10",31,52,"No","-",0,11381,0,0,13100,229,0
"ED22C","Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",20,47,"No","-",0,9884,0,0,11186,229,0
"ED23A","Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 11+",62,62,"No","-",0,16431,0,0,16431,229,0
"ED23B","Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 6-10",26,42,"No","-",0,10153,0,0,11913,229,0
"ED23C","Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",15,32,"No","-",0,8767,0,0,10157,229,0
"ED24A","Complex, Single Heart Valve Replacement or Repair, with CC Score 11+",51,88,"No","-",0,14460,0,0,17091,229,0
"ED24B","Complex, Single Heart Valve Replacement or Repair, with CC Score 6-10",28,46,"No","-",0,11347,0,0,13103,229,0
"ED24C","Complex, Single Heart Valve Replacement or Repair, with CC Score 0-5",17,37,"No","-",0,9049,0,0,10470,229,0
"ED25A","Standard, Single Heart Valve Replacement or Repair, with CC Score 11+",50,75,"No","-",0,13654,0,0,14224,229,0
"ED25B","Standard, Single Heart Valve Replacement or Repair, with CC Score 6-10",22,49,"No","-",0,9360,0,0,10846,229,0
"ED25C","Standard, Single Heart Valve Replacement or Repair, with CC Score 0-5",14,33,"No","-",0,7942,0,0,8377,229,0
"ED26A","Complex Coronary Artery Bypass Graft with CC Score 10+",58,58,"No","-",0,13547,0,0,13547,229,0
"ED26B","Complex Coronary Artery Bypass Graft with CC Score 5-9",25,35,"No","-",0,9929,0,0,10688,229,0
"ED26C","Complex Coronary Artery Bypass Graft with CC Score 0-4",14,28,"No","-",0,7652,0,0,9171,229,0
"ED27A","Major Coronary Artery Bypass Graft with CC Score 10+",43,52,"No","-",0,11228,0,0,12815,229,0
"ED27B","Major Coronary Artery Bypass Graft with CC Score 5-9",22,40,"No","-",0,8823,0,0,10173,229,0
"ED27C","Major Coronary Artery Bypass Graft with CC Score 0-4",14,29,"No","-",0,7426,0,0,9107,229,0
"ED28A","Standard Coronary Artery Bypass Graft with CC Score 10+",39,39,"No","-",0,9963,0,0,9963,229,0
"ED28B","Standard Coronary Artery Bypass Graft with CC Score 5-9",16,26,"No","-",0,7634,0,0,7832,229,0
"ED28C","Standard Coronary Artery Bypass Graft with CC Score 0-4",11,20,"No","-",0,6594,0,0,7216,229,0
"ED30A","Complex, Other Operations on Heart or Pericardium, with CC Score 10+",67,67,"No","-",0,12354,0,0,12354,229,0
"ED30B","Complex, Other Operations on Heart or Pericardium, with CC Score 5-9",29,29,"No","-",0,8042,0,0,8042,229,0
"ED30C","Complex, Other Operations on Heart or Pericardium, with CC Score 0-4",19,28,"No","-",0,5533,0,0,6467,229,0
"ED31A","Standard, Other Operations on Heart or Pericardium, with CC Score 10+",60,60,"No","-",0,8838,0,0,8838,229,0
"ED31B","Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",20,28,"No","-",0,4934,0,0,5192,229,0
"ED31C","Standard, Other Operations on Heart or Pericardium, with CC Score 0-4",13,18,"No","-",0,3115,0,0,3612,229,0
"EY01A","Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 9+",14,49,"No","-",0,6981,0,0,8572,229,0
"EY01B","Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 0-8",5,31,"No","-",0,5818,0,0,7144,229,0
"EY02A","Implantation of Cardioverter Defibrillator with CC Score 9+",13,58,"No","-",0,4654,0,0,5824,229,0
"EY02B","Implantation of Cardioverter Defibrillator with CC Score 0-8",5,28,"No","-",0,3878,0,0,4853,229,0
"EY03Z","Implantation of Biventricular Pacemaker with Other Percutaneous Intervention",19,43,"No","-",0,8927,0,0,16548,229,0
"EY04A","Implantation of Biventricular Pacemaker with CC Score 6+",5,57,"No","-",0,8145,0,0,10609,229,0
"EY04B","Implantation of Biventricular Pacemaker with CC Score 0-5",5,20,"No","-",0,6787,0,0,8841,229,0
"EY05A","Implantation of Dual Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+",40,35,"No","-",0,8338,0,0,8338,229,0
"EY05B","Implantation of Dual Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",6,19,"No","-",0,3844,0,0,5256,229,0
"EY06A","Implantation of Dual Chamber Pacemaker with CC Score 12+",61,63,"No","-",0,9022,0,0,9022,229,0
"EY06B","Implantation of Dual Chamber Pacemaker with CC Score 9-11",14,36,"No","-",0,4991,0,0,6044,229,0
"EY06C","Implantation of Dual Chamber Pacemaker with CC Score 6-8",5,24,"No","-",0,2909,0,0,4763,229,0
"EY06D","Implantation of Dual Chamber Pacemaker with CC Score 3-5",5,17,"No","-",0,2909,0,0,3747,229,0
"EY06E","Implantation of Dual Chamber Pacemaker with CC Score 0-2",5,10,"No","-",0,0,2996,2705,2909,229,0
"EY07A","Implantation of Single Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+",14,36,"No","-",0,4071,0,0,6349,229,0
"EY07B","Implantation of Single Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",5,15,"No","-",0,3043,0,0,3578,229,0
"EY08A","Implantation of Single Chamber Pacemaker with CC Score 12+",66,69,"No","-",0,6636,0,0,8853,229,0
"EY08B","Implantation of Single Chamber Pacemaker with CC Score 9-11",9,46,"No","-",0,3279,0,0,6475,229,0
"EY08C","Implantation of Single Chamber Pacemaker with CC Score 6-8",5,32,"No","-",0,2909,0,0,4911,229,0
"EY08D","Implantation of Single Chamber Pacemaker with CC Score 3-5",5,22,"No","-",0,2909,0,0,3665,229,0
"EY08E","Implantation of Single Chamber Pacemaker with CC Score 0-2",5,15,"No","-",0,0,2996,2705,2909,229,0
"EY09A","Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",22,47,"No","-",0,3563,0,0,6355,229,0
"EY09B","Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",5,22,"No","-",0,2189,0,0,2766,229,0
"EY10A","Attention to Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",5,26,"No","-",0,2407,0,0,4920,229,0
"EY10B","Attention to Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",5,10,"No","-",0,1809,0,0,2588,229,0
"EY11Z","Testing of Cardiac Pacemaker or Cardioverter Defibrillator",5,5,"No","-",130,465,0,0,465,229,0
"EY12A","Implantation of Electrocardiography Loop Recorder with CC Score 3+",5,23,"No","-",3982,3982,0,0,10968,229,0
"EY12B","Implantation of Electrocardiography Loop Recorder with CC Score 0-2",5,11,"No","-",3878,3878,0,0,6696,229,0
"EY13Z","Removal of Electrocardiography Loop Recorder",5,5,"No","-",0,797,0,0,797,229,0
"EY20A","Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 8+",41,77,"No","-",0,12765,0,0,20037,229,0
"EY20B","Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 0-7",15,47,"No","-",0,10212,0,0,16030,229,0
"EY21A","Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 8+",25,62,"No","-",0,10060,0,0,17332,229,0
"EY21B","Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 0-7",12,44,"No","-",0,8048,0,0,13866,229,0
"EY22A","Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+",48,48,"No","-",0,7296,0,0,7296,229,0
"EY22B","Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9",14,29,"No","-",0,2650,0,0,3980,229,0
"EY22C","Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4",5,17,"No","-",0,1641,0,0,2995,229,0
"EY23A","Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+",42,42,"No","-",0,6480,0,0,6480,229,0
"EY23B","Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9",10,22,"No","-",0,2650,0,0,3980,229,0
"EY23C","Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4",5,16,"No","-",0,1641,0,0,2995,229,0
"EY30A","Complex Percutaneous Transluminal Ablation of Heart with CC Score 3+",5,29,"No","-",0,3491,0,0,7386,229,0
"EY30B","Complex Percutaneous Transluminal Ablation of Heart with CC Score 0-2",5,14,"No","-",0,2909,0,0,3949,229,0
"EY31A","Standard Percutaneous Transluminal Ablation of Heart with CC Score 3+",5,24,"No","-",0,2327,0,0,6463,229,0
"EY31B","Standard Percutaneous Transluminal Ablation of Heart with CC Score 0-2",5,11,"No","-",0,1939,0,0,3037,229,0
"EY32A","Percutaneous Diagnostic Electrophysiology Studies with CC Score 2+",5,23,"No","-",0,893,0,0,3555,229,0
"EY32B","Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-1",5,14,"No","-",0,893,0,0,1798,229,0
"EY40A","Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 12+",48,48,"No","-",0,7186,0,0,7186,229,0
"EY40B","Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11",10,23,"No","-",0,3603,0,0,5124,229,0
"EY40C","Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7",5,12,"No","-",0,2699,0,0,3514,229,0
"EY40D","Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3",5,9,"No","-",0,2111,0,0,2760,229,0
"EY41A","Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 12+",42,42,"No","-",0,7101,0,0,7101,229,0
"EY41B","Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11",8,18,"No","-",0,3171,0,0,4277,229,0
"EY41C","Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7",5,10,"No","-",0,2092,0,0,3055,229,0
"EY41D","Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3",5,5,"No","-",0,1725,0,0,2403,229,0
"EY42A","Complex Cardiac Catheterisation with CC Score 7+",5,24,"No","-",0,2239,0,0,4802,229,0
"EY42B","Complex Cardiac Catheterisation with CC Score 4-6",5,12,"No","-",0,1409,0,0,2982,229,0
"EY42C","Complex Cardiac Catheterisation with CC Score 2-3",5,11,"No","-",0,1189,0,0,2293,229,0
"EY42D","Complex Cardiac Catheterisation with CC Score 0-1",5,10,"No","-",0,1128,0,0,1853,229,0
"EY43A","Standard Cardiac Catheterisation with CC Score 13+",55,55,"No","-",0,7983,0,0,7983,229,0
"EY43B","Standard Cardiac Catheterisation with CC Score 10-12",10,34,"No","-",0,2363,0,0,5446,229,0
"EY43C","Standard Cardiac Catheterisation with CC Score 7-9",5,24,"No","-",0,1587,0,0,4105,229,0
"EY43D","Standard Cardiac Catheterisation with CC Score 4-6",5,17,"No","-",0,1017,0,0,2982,229,0
"EY43E","Standard Cardiac Catheterisation with CC Score 2-3",5,12,"No","-",0,895,0,0,2280,229,0
"EY43F","Standard Cardiac Catheterisation with CC Score 0-1",5,9,"No","-",0,831,0,0,1763,229,0
"EY50Z","Complex Echocardiogram",5,5,"No","-",176,430,0,0,664,229,0
"EY51Z","Electrocardiogram Monitoring or Stress Testing",5,5,"No","-",122,363,0,0,363,229,0
"FZ12L","Major General Abdominal Procedures, 19 years and over, with CC Score 10+",80,80,"No","-",0,10223,0,0,10223,227,0
"FZ12M","Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",40,53,"No","-",0,6111,0,0,7235,227,0
"FZ12N","Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",20,36,"No","-",0,3570,0,0,5274,227,0
"FZ12P","Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",10,24,"No","-",0,2510,0,0,3868,227,0
"FZ12Q","Major General Abdominal Procedures, 19 years and over, with CC Score 0",5,17,"No","-",0,1671,0,0,2986,227,0
"FZ12R","Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",14,29,"No","-",0,5377,0,0,8226,430,0
"FZ12S","Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",5,15,"No","-",0,1918,0,0,3580,430,0
"FZ12T","Major General Abdominal Procedures, 1 year and under, with CC Score 2+",36,78,"No","-",0,7228,0,0,7833,430,0
"FZ12U","Major General Abdominal Procedures, 1 year and under, with CC Score 0-1",10,45,"No","-",0,3509,0,0,4700,430,0
"FZ13C","Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",5,5,"No","-",255,735,0,0,810,227,0
"FZ13D","Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under",5,5,"No","-",0,1113,0,0,1113,430,0
"FZ17D","Abdominal Hernia Procedures, 18 years and under",5,8,"No","-",0,1181,0,0,2227,430,0
"FZ17E","Abdominal Hernia Procedures, 19 years and over, with CC Score 4+",20,32,"No","-",0,4328,0,0,5351,227,0
"FZ17F","Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3",9,12,"No","-",0,2646,0,0,2941,227,0
"FZ17G","Abdominal Hernia Procedures, 19 years and over, with CC Score 0",5,9,"No","-",0,1775,0,0,2369,227,0
"FZ18E","Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years",5,5,"No","-",0,1132,0,0,1743,430,0
"FZ18F","Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",5,6,"No","-",0,1508,0,0,2166,430,0
"FZ18G","Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+",6,40,"No","-",0,2540,0,0,5412,227,0
"FZ18H","Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5",5,12,"No","-",0,1731,0,0,2899,227,0
"FZ18J","Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2",5,6,"No","-",0,0,1546,1393,2238,227,0
"FZ18K","Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0",5,6,"No","-",0,0,1363,1228,1979,227,0
"FZ19A","Herniotomy Procedures, 2 years and over",5,5,"No","-",0,1038,0,0,1584,227,0
"FZ19B","Herniotomy Procedures, 1 year and under",5,6,"No","-",0,1293,0,0,1977,430,0
"FZ20F","Appendicectomy Procedures, 19 years and over, with CC Score 5+",29,29,"No","-",0,5414,0,0,5414,227,0
"FZ20G","Appendicectomy Procedures, 19 years and over, with CC Score 3-4",11,13,"No","-",0,3090,0,0,3539,227,0
"FZ20H","Appendicectomy Procedures, 19 years and over, with CC Score 1-2",5,7,"No","-",0,2322,0,0,2742,227,0
"FZ20J","Appendicectomy Procedures, 19 years and over, with CC Score 0",5,5,"No","-",0,1854,0,0,2370,227,0
"FZ20K","Appendicectomy Procedures, 18 years and under, with CC Score 3+",16,18,"No","-",0,2600,0,0,5055,430,0
"FZ20L","Appendicectomy Procedures, 18 years and under, with CC Score 1-2",6,10,"No","-",0,2514,0,0,3076,430,0
"FZ20M","Appendicectomy Procedures, 18 years and under, with CC Score 0",6,6,"No","-",0,2415,0,0,2415,430,0
"FZ21B","Major Anal Procedures, 18 years and under",8,8,"No","-",0,2102,0,0,2102,430,0
"FZ21C","Major Anal Procedures, 19 years and over, with CC Score 1+",5,16,"No","-",0,1114,0,0,2626,227,0
"FZ21D","Major Anal Procedures, 19 years and over, with CC Score 0",5,5,"No","-",0,1021,0,0,1417,227,0
"FZ22B","Intermediate Anal Procedures, 18 years and under",5,5,"No","-",0,1053,0,0,1203,430,0
"FZ22C","Intermediate Anal Procedures, 19 years and over, with CC Score 3+",5,25,"No","-",0,1391,0,0,3097,227,0
"FZ22D","Intermediate Anal Procedures, 19 years and over, with CC Score 1-2",5,5,"No","-",0,982,0,0,1341,227,0
"FZ22E","Intermediate Anal Procedures, 19 years and over, with CC Score 0",5,5,"No","-",0,909,0,0,1125,227,0
"FZ23A","Minor Anal Procedures, 19 years and over",5,5,"No","-",144,617,0,0,744,227,0
"FZ23B","Minor Anal Procedures, 18 years and under",5,5,"No","-",0,732,0,0,653,430,0
"FZ24E","Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",5,5,"No","-",0,2214,0,0,3875,430,0
"FZ24F","Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 1 year and under",5,5,"No","-",0,1492,0,0,1550,430,0
"FZ24G","Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",5,37,"No","-",0,941,0,0,3783,227,0
"FZ24H","Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",5,8,"No","-",0,672,0,0,1462,227,0
"FZ24J","Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",5,5,"No","-",0,595,0,0,1199,227,0
"FZ27D","Intermediate Therapeutic General Abdominal Procedures, 18 years and under",5,11,"No","-",0,1349,0,0,2735,430,0
"FZ27E","Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+",5,38,"No","-",0,2214,0,0,3875,227,0
"FZ27F","Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",5,17,"No","-",0,1826,0,0,3146,227,0
"FZ27G","Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",5,10,"No","-",0,1364,0,0,2403,227,0
"FZ36G","Gastrointestinal Infections with Multiple Interventions, with CC Score 4+",42,77,"Yes","30%",0,4802,0,0,8244,227,2473
"FZ36H","Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3",23,31,"Yes","30%",0,3795,0,0,4269,227,1281
"FZ36J","Gastrointestinal Infections with Single Intervention, with CC Score 5+",36,53,"Yes","30%",0,4701,0,0,5731,227,1719
"FZ36K","Gastrointestinal Infections with Single Intervention, with CC Score 2-4",12,25,"Yes","30%",0,2610,0,0,3217,227,965
"FZ36L","Gastrointestinal Infections with Single Intervention, with CC Score 0-1",7,16,"Yes","30%",0,1767,0,0,2268,227,680
"FZ36M","Gastrointestinal Infections without Interventions, with CC Score 8+",33,37,"Yes","30%",0,3604,0,0,3759,227,1128
"FZ36N","Gastrointestinal Infections without Interventions, with CC Score 5-7",19,22,"Yes","30%",0,2142,0,0,2437,227,731
"FZ36P","Gastrointestinal Infections without Interventions, with CC Score 2-4",13,11,"No","-",0,1291,0,0,1315,227,0
"FZ36Q","Gastrointestinal Infections without Interventions, with CC Score 0-1",5,8,"No","-",0,376,0,0,763,227,0
"FZ37K","Inflammatory Bowel Disease with Multiple Interventions, with CC Score 3+",56,68,"Yes","30%",0,7567,0,0,7657,227,2297
"FZ37L","Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2",32,35,"Yes","30%",0,3806,0,0,4541,227,1362
"FZ37M","Inflammatory Bowel Disease with Single Intervention, with CC Score 4+",34,46,"Yes","30%",0,4487,0,0,5296,227,1589
"FZ37N","Inflammatory Bowel Disease with Single Intervention, with CC Score 0-3",15,19,"Yes","30%",0,2318,0,0,2891,227,867
"FZ37P","Inflammatory Bowel Disease without Interventions, with CC Score 5+",13,26,"Yes","30%",0,1051,0,0,2962,227,889
"FZ37Q","Inflammatory Bowel Disease without Interventions, with CC Score 3-4",5,17,"Yes","30%",0,325,0,0,2193,227,658
"FZ37R","Inflammatory Bowel Disease without Interventions, with CC Score 1-2",5,14,"Yes","50%",0,272,0,0,1718,227,859
"FZ37S","Inflammatory Bowel Disease without Interventions, with CC Score 0",5,9,"Yes","50%",0,248,0,0,1427,227,714
"FZ38G","Gastrointestinal Bleed with Multiple Interventions, with CC Score 5+",36,56,"Yes","30%",0,5354,0,0,6183,227,1855
"FZ38H","Gastrointestinal Bleed with Multiple Interventions, with CC Score 0-4",12,19,"Yes","30%",0,2299,0,0,2982,227,894
"FZ38J","Gastrointestinal Bleed with Single Intervention, with CC Score 8+",35,44,"Yes","30%",0,4447,0,0,4923,227,1477
"FZ38K","Gastrointestinal Bleed with Single Intervention, with CC Score 5-7",19,19,"Yes","30%",0,2905,0,0,2905,227,871
"FZ38L","Gastrointestinal Bleed with Single Intervention, with CC Score 0-4",11,11,"Yes","30%",0,1930,0,0,1930,227,579
"FZ38M","Gastrointestinal Bleed without Interventions, with CC Score 9+",25,33,"Yes","30%",0,1766,0,0,3087,227,926
"FZ38N","Gastrointestinal Bleed without Interventions, with CC Score 5-8",20,16,"Yes","30%",0,1235,0,0,1935,227,581
"FZ38P","Gastrointestinal Bleed without Interventions, with CC Score 0-4",5,5,"No","-",0,361,0,0,698,227,0
"FZ42A","Wireless Capsule Endoscopy, 19 years and over",5,5,"No","-",775,775,0,0,802,227,0
"FZ42B","Wireless Capsule Endoscopy, 18 years and under",5,5,"No","-",1425,1425,0,0,1225,430,0
"FZ49D","Nutritional Disorders with Interventions, with CC Score 2+",31,63,"Yes","30%",0,4399,0,0,6215,227,1865
"FZ49E","Nutritional Disorders with Interventions, with CC Score 0-1",18,41,"Yes","30%",0,2724,0,0,4193,227,1258
"FZ49F","Nutritional Disorders without Interventions, with CC Score 6+",18,48,"Yes","30%",0,2271,0,0,4083,227,1225
"FZ49G","Nutritional Disorders without Interventions, with CC Score 2-5",5,24,"Yes","30%",0,374,0,0,2485,227,745
"FZ49H","Nutritional Disorders without Interventions, with CC Score 0-1",5,13,"Yes","50%",0,279,0,0,1541,227,771
"FZ50Z","Intermediate Large Intestine Procedures, 19 years and over",5,5,"No","-",153,761,0,0,761,227,0
"FZ51Z","Diagnostic Colonoscopy, 19 years and over",5,5,"No","-",403,403,0,0,691,227,0
"FZ52Z","Diagnostic Colonoscopy with Biopsy, 19 years and over",5,5,"No","-",465,465,0,0,797,227,0
"FZ53Z","Therapeutic Colonoscopy, 19 years and over",5,5,"No","-",512,512,0,0,797,227,0
"FZ54Z","Diagnostic Flexible Sigmoidoscopy, 19 years and over",5,5,"No","-",310,310,0,0,531,227,0
"FZ55Z","Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",5,5,"No","-",372,372,0,0,638,227,0
"FZ56Z","Therapeutic Flexible Sigmoidoscopy, 19 years and over",5,5,"No","-",0,419,0,0,717,227,0
"FZ57Z","Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over",5,5,"No","-",155,155,0,0,266,227,0
"FZ58A","Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, between 2 and 18 years",5,5,"No","-",0,682,0,0,1169,430,0
"FZ58B","Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, 1 year and under",5,5,"No","-",0,868,0,0,1488,430,0
"FZ59Z","Intermediate Upper Gastrointestinal Tract Procedures, 19 years and over",5,5,"No","-",297,297,0,0,583,227,0
"FZ60Z","Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",5,5,"No","-",341,341,0,0,585,227,0
"FZ61Z","Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over",5,5,"No","-",388,388,0,0,664,227,0
"FZ62A","Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, between 2 and 18 years",5,5,"No","-",0,775,0,0,1328,430,0
"FZ62B","Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, 1 year and under",5,5,"No","-",0,930,0,0,1594,430,0
"FZ63Z","Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures",5,5,"No","-",496,496,0,0,850,227,0
"FZ64A","Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 19 years and over",5,5,"No","-",589,589,0,0,1010,227,0
"FZ64B","Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 18 years and under",5,5,"No","-",0,1240,0,0,2126,430,0
"FZ65Z","Combined Upper and Lower Gastrointestinal Tract Therapeutic Endoscopic Procedures",5,5,"No","-",0,713,0,0,1222,227,0
"FZ66C","Very Major Small Intestine Procedures, 19 years and over, with CC Score 8+",89,89,"No","-",0,11350,0,0,11350,227,0
"FZ66D","Very Major Small Intestine Procedures, 19 years and over, with CC Score 5-7",48,48,"No","-",0,7937,0,0,7937,227,0
"FZ66E","Very Major Small Intestine Procedures, 19 years and over, with CC Score 2-4",23,33,"No","-",0,5717,0,0,6019,227,0
"FZ66F","Very Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",14,21,"No","-",0,4479,0,0,4879,227,0
"FZ67C","Major Small Intestine Procedures, 19 years and over, with CC Score 7+",60,82,"No","-",0,9287,0,0,10010,227,0
"FZ67D","Major Small Intestine Procedures, 19 years and over, with CC Score 4-6",25,49,"No","-",0,5116,0,0,6876,227,0
"FZ67E","Major Small Intestine Procedures, 19 years and over, with CC Score 2-3",16,34,"No","-",0,3695,0,0,5165,227,0
"FZ67F","Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",12,24,"No","-",0,3004,0,0,3937,227,0
"FZ68G","Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 2+",33,33,"No","-",0,9660,0,0,9660,430,0
"FZ68H","Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 0-1",12,17,"No","-",0,4078,0,0,4390,430,0
"FZ68J","Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 3+",77,198,"No","-",0,14174,0,0,17134,430,0
"FZ68K","Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 1-2",16,62,"No","-",0,6521,0,0,7484,430,0
"FZ68L","Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 0",12,27,"No","-",0,4686,0,0,5425,430,0
"FZ69B","Complex Small Intestine Procedures, 18 years and under",32,219,"No","-",0,18321,0,0,21121,430,0
"FZ69C","Complex Small Intestine Procedures, 19 years and over, with CC Score 7+",138,138,"No","-",0,17626,0,0,17626,227,0
"FZ69D","Complex Small Intestine Procedures, 19 years and over, with CC Score 3-6",53,84,"No","-",0,9796,0,0,11432,227,0
"FZ69E","Complex Small Intestine Procedures, 19 years and over, with CC Score 0-2",18,40,"No","-",0,6593,0,0,7114,227,0
"FZ70Z","Therapeutic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",5,5,"No","-",0,465,0,0,797,227,0
"FZ71D","Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 7+",52,64,"No","-",0,5893,0,0,7437,227,0
